Date;Close price
2023-01-03;159.63999938964844
2023-01-04;159.22999572753906
2023-01-05;156.8000030517578
2023-01-06;159.66000366210938
2023-01-09;165.9199981689453
2023-01-10;164.32000732421875
2023-01-11;168.47000122070312
2023-01-12;168.05999755859375
2023-01-13;169.25999450683594
2023-01-17;172.97000122070312
2023-01-18;172.4600067138672
2023-01-19;171.9499969482422
2023-01-20;178.25999450683594
2023-01-23;183.41000366210938
2023-01-24;182.3800048828125
2023-01-25;182.47999572753906
2023-01-26;185.6300048828125
2023-01-27;185.02999877929688
2023-01-30;180.74000549316406
2023-01-31;182.8300018310547
2023-02-01;188.88999938964844
2023-02-02;189.22000122070312
2023-02-03;185.85000610351562
2023-02-06;185.91000366210938
2023-02-07;188.3300018310547
2023-02-08;185.4499969482422
2023-02-09;186.27000427246094
2023-02-10;183.8000030517578
2023-02-13;185.6999969482422
2023-02-14;199.08999633789062
2023-02-15;202.25999450683594
2023-02-16;194.6199951171875
2023-02-17;194.44000244140625
2023-02-21;192.64999389648438
2023-02-22;193.99000549316406
2023-02-23;196.6199951171875
2023-02-24;193.74000549316406
2023-02-27;193.17999267578125
2023-02-28;192.94000244140625
2023-03-01;191.42999267578125
2023-03-02;192.63999938964844
2023-03-03;196.5
2023-03-06;197.39999389648438
2023-03-07;195.35000610351562
2023-03-08;199.3000030517578
2023-03-09;196.39999389648438
2023-03-10;195.6699981689453
2023-03-13;196.27000427246094
2023-03-14;203.52000427246094
2023-03-15;202.94000244140625
2023-03-16;207.82000732421875
2023-03-17;206.8800048828125
2023-03-20;207.07000732421875
2023-03-21;207.8800048828125
2023-03-22;204.0
2023-03-23;207.0
2023-03-24;204.47999572753906
2023-03-27;205.27000427246094
2023-03-28;203.27999877929688
2023-03-29;206.0
2023-03-30;207.00999450683594
2023-03-31;210.08999633789062
2023-04-03;211.38999938964844
2023-04-04;211.50999450683594
2023-04-05;207.55999755859375
2023-04-06;208.52000427246094
2023-04-10;213.61000061035156
2023-04-11;213.88999938964844
2023-04-12;212.17999267578125
2023-04-13;217.00999450683594
2023-04-14;214.5500030517578
2023-04-17;213.16000366210938
2023-04-18;213.77000427246094
2023-04-19;213.6699981689453
2023-04-20;213.72999572753906
2023-04-21;213.0
2023-04-24;212.97999572753906
2023-04-25;203.89999389648438
2023-04-26;203.61000061035156
2023-04-27;207.86000061035156
2023-04-28;209.4499969482422
2023-05-01;210.64999389648438
2023-05-02;208.97000122070312
2023-05-03;207.4499969482422
2023-05-04;205.02999877929688
2023-05-05;205.24000549316406
2023-05-08;205.55999755859375
2023-05-09;204.02999877929688
2023-05-10;204.19000244140625
2023-05-11;201.4600067138672
2023-05-12;201.16000366210938
2023-05-15;202.30999755859375
2023-05-16;202.4600067138672
2023-05-17;204.14999389648438
2023-05-18;216.83999633789062
2023-05-19;216.7100067138672
2023-05-22;211.6300048828125
2023-05-23;205.75999450683594
2023-05-24;203.6699981689453
2023-05-25;224.49000549316406
2023-05-26;228.3300018310547
2023-05-30;234.75
2023-05-31;230.91000366210938
2023-06-01;232.38999938964844
2023-06-02;229.69000244140625
2023-06-05;232.3300018310547
2023-06-06;228.77999877929688
2023-06-07;222.47000122070312
2023-06-08;228.0800018310547
2023-06-09;229.3000030517578
2023-06-12;233.22000122070312
2023-06-13;239.0
2023-06-14;236.05999755859375
2023-06-15;237.77000427246094
2023-06-16;235.83999633789062
2023-06-20;232.52999877929688
2023-06-21;228.00999450683594
2023-06-22;227.0
2023-06-23;225.32000732421875
2023-06-26;223.00999450683594
2023-06-27;228.8000030517578
2023-06-28;229.36000061035156
2023-06-29;228.5399932861328
2023-06-30;234.52000427246094
2023-07-03;235.39999389648438
2023-07-05;232.52000427246094
2023-07-06;230.07000732421875
2023-07-07;226.88999938964844
2023-07-10;234.4199981689453
2023-07-11;231.8699951171875
2023-07-12;232.74000549316406
2023-07-13;239.50999450683594
2023-07-14;240.74000549316406
2023-07-17;244.44000244140625
2023-07-18;244.08999633789062
2023-07-19;242.49000549316406
2023-07-20;238.7899932861328
2023-07-21;242.86000061035156
2023-07-24;241.27000427246094
2023-07-25;238.2899932861328
2023-07-26;233.9600067138672
2023-07-27;234.89999389648438
2023-07-28;234.24000549316406
2023-07-31;234.00999450683594
2023-08-01;233.6300048828125
2023-08-02;228.74000549316406
2023-08-03;228.58999633789062
2023-08-04;229.0
2023-08-07;232.44000244140625
2023-08-08;228.92999267578125
2023-08-09;225.3000030517578
2023-08-10;225.61000061035156
2023-08-11;226.07000732421875
2023-08-14;227.89999389648438
2023-08-15;226.16000366210938
2023-08-16;223.24000549316406
2023-08-17;220.30999755859375
2023-08-18;220.5500030517578
2023-08-21;225.0
2023-08-22;225.50999450683594
2023-08-23;233.5800018310547
2023-08-24;228.0399932861328
2023-08-25;232.50999450683594
2023-08-28;233.5500030517578
2023-08-29;237.7899932861328
2023-08-30;239.8800048828125
2023-08-31;240.44000244140625
2023-09-01;243.55999755859375
2023-09-05;245.50999450683594
2023-09-06;246.6999969482422
2023-09-07;241.4600067138672
2023-09-08;237.99000549316406
2023-09-11;243.24000549316406
2023-09-12;236.4600067138672
2023-09-13;241.1300048828125
2023-09-14;242.82000732421875
2023-09-15;234.0800018310547
2023-09-18;236.8300018310547
2023-09-19;236.55999755859375
2023-09-20;234.1999969482422
2023-09-21;228.5800018310547
2023-09-22;230.66000366210938
2023-09-25;231.25
2023-09-26;229.25999450683594
2023-09-27;230.64999389648438
2023-09-28;234.00999450683594
2023-09-29;234.3000030517578
2023-10-02;236.49000549316406
2023-10-03;228.69000244140625
2023-10-04;235.0500030517578
2023-10-05;234.77000427246094
2023-10-06;243.9499969482422
2023-10-09;247.33999633789062
2023-10-10;249.75
2023-10-11;252.97999572753906
2023-10-12;252.1999969482422
2023-10-13;250.25
2023-10-16;251.4199981689453
2023-10-17;250.02000427246094
2023-10-18;246.55999755859375
2023-10-19;245.05999755859375
2023-10-20;238.63999938964844
2023-10-23;239.9199981689453
2023-10-24;237.41000366210938
2023-10-25;231.02999877929688
2023-10-26;230.44000244140625
2023-10-27;230.8699951171875
2023-10-30;233.72000122070312
2023-10-31;239.85000610351562
2023-11-01;244.8800048828125
2023-11-02;244.47999572753906
2023-11-03;249.5399932861328
2023-11-06;249.77000427246094
2023-11-07;253.72999572753906
2023-11-08;256.3999938964844
2023-11-09;256.45001220703125
2023-11-10;261.55999755859375
2023-11-13;263.94000244140625
2023-11-14;272.6199951171875
2023-11-15;265.7900085449219
2023-11-16;266.989990234375
2023-11-17;268.2699890136719
2023-11-20;270.25
2023-11-21;270.3900146484375
2023-11-22;270.3500061035156
2023-11-24;270.6099853515625
2023-11-27;271.54998779296875
2023-11-28;270.7200012207031
2023-11-29;275.2099914550781
2023-11-30;273.2699890136719
2023-12-01;270.3500061035156
2023-12-04;263.4800109863281
2023-12-05;262.17999267578125
2023-12-06;257.67999267578125
2023-12-07;259.4700012207031
2023-12-08;259.92999267578125
2023-12-11;268.75
2023-12-12;274.2300109863281
2023-12-13;276.57000732421875
2023-12-14;270.1000061035156
2023-12-15;271.5199890136719
2023-12-18;273.5
2023-12-19;274.3299865722656
2023-12-20;270.7900085449219
2023-12-21;275.57000732421875
2023-12-22;275.82000732421875
2023-12-26;274.9599914550781
2023-12-27;274.6400146484375
2023-12-28;273.239990234375
2023-12-29;272.3699951171875
2024-01-02;262.8999938964844
2024-01-03;257.2799987792969
2024-01-04;255.9199981689453
2024-01-05;252.7100067138672
2024-01-08;261.9100036621094
2024-01-09;261.75
2024-01-10;263.260009765625
2024-01-11;266.7900085449219
2024-01-12;268.5
2024-01-16;277.55999755859375
2024-01-17;275.3900146484375
2024-01-18;279.010009765625
2024-01-19;292.1400146484375
2024-01-22;295.7300109863281
2024-01-23;295.5400085449219
2024-01-24;294.9100036621094
2024-01-25;291.19000244140625
2024-01-26;290.7300109863281
2024-01-29;294.3699951171875
2024-01-30;294.6199951171875
2024-01-31;288.4599914550781
2024-02-01;290.5199890136719
2024-02-02;296.54998779296875
2024-02-05;296.6499938964844
2024-02-06;292.79998779296875
2024-02-07;300.7300109863281
2024-02-08;307.3599853515625
2024-02-09;311.94000244140625
2024-02-12;306.5799865722656
2024-02-13;294.3299865722656
2024-02-14;300.739990234375
2024-02-15;295.6700134277344
2024-02-16;290.29998779296875
2024-02-20;292.07000732421875
2024-02-21;290.760009765625
2024-02-22;305.57000732421875
2024-02-23;303.5299987792969
2024-02-26;303.69000244140625
2024-02-27;300.010009765625
2024-02-28;300.5799865722656
2024-02-29;304.3800048828125
2024-03-01;315.239990234375
2024-03-04;317.30999755859375
2024-03-05;307.70001220703125
2024-03-06;312.6499938964844
2024-03-07;318.0400085449219
2024-03-08;308.6000061035156
2024-03-11;305.739990234375
2024-03-12;311.2799987792969
2024-03-13;306.2099914550781
2024-03-14;306.239990234375
2024-03-15;298.44000244140625
2024-03-18;300.92999267578125
2024-03-19;311.8500061035156
2024-03-20;316.8599853515625
2024-03-21;322.79998779296875
2024-03-22;322.739990234375
2024-03-25;316.2099914550781
2024-03-26;316.010009765625
2024-03-27;311.3399963378906
2024-03-28;311.2799987792969
2024-04-01;312.1300048828125
2024-04-02;306.3599853515625
2024-04-03;310.5799865722656
2024-04-04;306.4800109863281
2024-04-05;308.0199890136719
2024-04-08;311.0899963378906
2024-04-09;311.4100036621094
2024-04-10;304.5899963378906
2024-04-11;310.1000061035156
2024-04-12;305.8500061035156
2024-04-15;301.55999755859375
2024-04-16;300.80999755859375
2024-04-17;293.7099914550781
2024-04-18;285.8999938964844
2024-04-19;280.25
2024-04-22;285.0199890136719
2024-04-23;281.760009765625
2024-04-24;277.6600036621094
2024-04-25;277.0799865722656
2024-04-26;282.4100036621094
2024-04-29;282.489990234375
2024-04-30;275.6300048828125
