Date;Close price
2023-01-03;195.38999938964844
2023-01-04;203.63999938964844
2023-01-05;204.99000549316406
2023-01-06;213.0
2023-01-09;208.57000732421875
2023-01-10;206.69000244140625
2023-01-11;208.02999877929688
2023-01-12;214.32000732421875
2023-01-13;214.1300048828125
2023-01-17;211.41000366210938
2023-01-18;209.41000366210938
2023-01-19;207.08999633789062
2023-01-20;206.75999450683594
2023-01-23;209.97000122070312
2023-01-24;211.97999572753906
2023-01-25;212.67999267578125
2023-01-26;212.72999572753906
2023-01-27;211.1699981689453
2023-01-30;209.6699981689453
2023-01-31;213.0
2023-02-01;214.75
2023-02-02;209.33999633789062
2023-02-03;206.00999450683594
2023-02-06;206.80999755859375
2023-02-07;214.75999450683594
2023-02-08;213.5
2023-02-09;211.99000549316406
2023-02-10;212.88999938964844
2023-02-13;215.64999389648438
2023-02-14;218.4499969482422
2023-02-15;217.44000244140625
2023-02-16;212.2100067138672
2023-02-17;211.66000366210938
2023-02-21;205.52000427246094
2023-02-22;205.75999450683594
2023-02-23;208.1300048828125
2023-02-24;198.14999389648438
2023-02-27;200.4600067138672
2023-02-28;201.5500030517578
2023-03-01;204.5500030517578
2023-03-02;210.05999755859375
2023-03-03;215.11000061035156
2023-03-06;211.9199981689453
2023-03-07;207.9199981689453
2023-03-08;207.1999969482422
2023-03-09;201.24000549316406
2023-03-10;203.07000732421875
2023-03-13;203.3699951171875
2023-03-14;207.27999877929688
2023-03-15;198.2100067138672
2023-03-16;203.19000244140625
2023-03-17;201.0500030517578
2023-03-20;204.77000427246094
2023-03-21;204.6999969482422
2023-03-22;196.16000366210938
2023-03-23;197.89999389648438
2023-03-24;197.52999877929688
2023-03-27;200.57000732421875
2023-03-28;204.9600067138672
2023-03-29;207.97000122070312
2023-03-30;211.0399932861328
2023-03-31;212.42999267578125
2023-04-03;215.38999938964844
2023-04-04;213.89999389648438
2023-04-05;210.0
2023-04-06;211.3699951171875
2023-04-10;210.77999877929688
2023-04-11;212.32000732421875
2023-04-12;212.33999633789062
2023-04-13;213.58999633789062
2023-04-14;201.7100067138672
2023-04-17;205.02999877929688
2023-04-18;208.3699951171875
2023-04-19;208.7100067138672
2023-04-20;207.22999572753906
2023-04-21;205.14999389648438
2023-04-24;205.77000427246094
2023-04-25;202.19000244140625
2023-04-26;203.02999877929688
2023-04-27;206.0399932861328
2023-04-28;206.77999877929688
2023-05-01;203.8699951171875
2023-05-02;203.25
2023-05-03;200.92999267578125
2023-05-04;197.0500030517578
2023-05-05;198.33999633789062
2023-05-08;197.25999450683594
2023-05-09;201.8800048828125
2023-05-10;200.83999633789062
2023-05-11;201.83999633789062
2023-05-12;200.6999969482422
2023-05-15;202.77000427246094
2023-05-16;200.8699951171875
2023-05-17;206.8699951171875
2023-05-18;207.24000549316406
2023-05-19;205.49000549316406
2023-05-22;205.91000366210938
2023-05-23;202.60000610351562
2023-05-24;199.27000427246094
2023-05-25;200.8699951171875
2023-05-26;203.6300048828125
2023-05-30;204.69000244140625
2023-05-31;205.6999969482422
2023-06-01;207.9600067138672
2023-06-02;213.32000732421875
2023-06-05;208.77999877929688
2023-06-06;207.2899932861328
2023-06-07;211.92999267578125
2023-06-08;218.11000061035156
2023-06-09;217.30999755859375
2023-06-12;221.55999755859375
2023-06-13;220.3800048828125
2023-06-14;216.89999389648438
2023-06-15;219.41000366210938
2023-06-16;219.99000549316406
2023-06-20;212.3699951171875
2023-06-21;212.0800018310547
2023-06-22;205.61000061035156
2023-06-23;205.41000366210938
2023-06-26;205.5800018310547
2023-06-27;209.42999267578125
2023-06-28;210.72000122070312
2023-06-29;211.8300018310547
2023-06-30;211.16000366210938
2023-07-03;210.9199981689453
2023-07-05;213.30999755859375
2023-07-06;212.6199951171875
2023-07-07;212.10000610351562
2023-07-10;213.30999755859375
2023-07-11;218.75999450683594
2023-07-12;217.11000061035156
2023-07-13;216.85000610351562
2023-07-14;213.1199951171875
2023-07-17;211.8699951171875
2023-07-18;211.57000732421875
2023-07-19;208.60000610351562
2023-07-20;213.61000061035156
2023-07-21;211.8000030517578
2023-07-24;215.8699951171875
2023-07-25;214.1199951171875
2023-07-26;232.8000030517578
2023-07-27;233.75
2023-07-28;238.69000244140625
2023-07-31;238.85000610351562
2023-08-01;238.00999450683594
2023-08-02;231.3800048828125
2023-08-03;231.36000061035156
2023-08-04;231.36000061035156
2023-08-07;238.25
2023-08-08;238.0399932861328
2023-08-09;237.86000061035156
2023-08-10;238.25999450683594
2023-08-11;235.72000122070312
2023-08-14;236.7100067138672
2023-08-15;232.25999450683594
2023-08-16;229.9499969482422
2023-08-17;224.5399932861328
2023-08-18;226.64999389648438
2023-08-21;227.22000122070312
2023-08-22;230.07000732421875
2023-08-23;228.5800018310547
2023-08-24;217.30999755859375
2023-08-25;223.41000366210938
2023-08-28;227.05999755859375
2023-08-29;227.25
2023-08-30;228.85000610351562
2023-08-31;224.02999877929688
2023-09-01;223.39999389648438
2023-09-05;222.57000732421875
2023-09-06;217.9499969482422
2023-09-07;216.0500030517578
2023-09-08;211.27000427246094
2023-09-11;211.00999450683594
2023-09-12;210.64999389648438
2023-09-13;208.39999389648438
2023-09-14;209.0500030517578
2023-09-15;208.11000061035156
2023-09-18;205.1199951171875
2023-09-19;204.47999572753906
2023-09-20;202.3699951171875
2023-09-21;199.9499969482422
2023-09-22;197.7100067138672
2023-09-25;198.77999877929688
2023-09-26;195.63999938964844
2023-09-27;195.4600067138672
2023-09-28;190.42999267578125
2023-09-29;191.67999267578125
2023-10-02;187.8300018310547
2023-10-03;188.9199981689453
2023-10-04;186.72999572753906
2023-10-05;186.2899932861328
2023-10-06;187.3800048828125
2023-10-09;188.49000549316406
2023-10-10;193.52999877929688
2023-10-11;196.07000732421875
2023-10-12;191.3000030517578
2023-10-13;184.91000366210938
2023-10-16;184.92999267578125
2023-10-17;185.60000610351562
2023-10-18;185.69000244140625
2023-10-19;182.7899932861328
2023-10-20;180.0399932861328
2023-10-23;181.02999877929688
2023-10-24;182.36000061035156
2023-10-25;177.72999572753906
2023-10-26;179.08999633789062
2023-10-27;179.69000244140625
2023-10-30;182.35000610351562
2023-10-31;186.82000732421875
2023-11-01;189.3800048828125
2023-11-02;192.00999450683594
2023-11-03;195.0500030517578
2023-11-06;192.9499969482422
2023-11-07;191.41000366210938
2023-11-08;191.8300018310547
2023-11-09;193.3300018310547
2023-11-10;196.64999389648438
2023-11-13;204.5399932861328
2023-11-14;207.47000122070312
2023-11-15;208.7100067138672
2023-11-16;206.60000610351562
2023-11-17;208.0399932861328
2023-11-20;217.7100067138672
2023-11-21;218.27000427246094
2023-11-22;219.91000366210938
2023-11-24;220.0
2023-11-27;219.3000030517578
2023-11-28;222.3699951171875
2023-11-29;224.42999267578125
2023-11-30;231.6300048828125
2023-12-01;233.8699951171875
2023-12-04;234.8699951171875
2023-12-05;234.16000366210938
2023-12-06;236.88999938964844
2023-12-07;237.3300018310547
2023-12-08;244.6999969482422
2023-12-11;248.0800018310547
2023-12-12;248.6300048828125
